,dealer_cards,player_cards,points,mean_profit_stand,mean_profit_hit,mean_profit_double,n_iter
420,A,"['4', '3']",7,-0.783,-0.6076,-1.3954,10000
421,T,"['4', '3']",7,-0.5722,-0.4238,-1.0496,10000
422,9,"['4', '3']",7,-0.5286,-0.3493,-0.951,10000
423,8,"['4', '3']",7,-0.5212,-0.3023,-0.8022,10000
424,7,"['4', '3']",7,-0.4672,-0.1217,-0.565,10000
425,6,"['4', '3']",7,-0.1084,0.0778,-0.0732,10000
426,5,"['4', '3']",7,-0.0906,0.0527,-0.0656,10000
427,4,"['4', '3']",7,-0.1758,-0.0182,-0.1796,10000
428,3,"['4', '3']",7,-0.2208,-0.0768,-0.3006,10000
429,2,"['4', '3']",7,-0.315,-0.1202,-0.4236,10000
430,A,"['4', '2']",6,-0.7854,-0.6373,-1.5164,10000
431,T,"['4', '2']",6,-0.578,-0.4449,-1.1462,10000
432,9,"['4', '2']",6,-0.5372,-0.3827,-1.0374,10000
433,8,"['4', '2']",6,-0.5244,-0.3164,-1.0028,10000
434,7,"['4', '2']",6,-0.4672,-0.236,-0.8698,10000
435,6,"['4', '2']",6,-0.1254,-0.0102,-0.2194,10000
436,5,"['4', '2']",6,-0.1002,-0.0055,-0.1712,10000
437,4,"['4', '2']",6,-0.1884,-0.0535,-0.2988,10000
438,3,"['4', '2']",6,-0.2146,-0.114,-0.4426,10000
439,2,"['4', '2']",6,-0.3032,-0.1588,-0.5776,10000
440,A,"['3', '2']",5,-0.7794,-0.6308,-1.5244,10000
441,T,"['3', '2']",5,-0.5814,-0.4276,-1.1708,10000
442,9,"['3', '2']",5,-0.5578,-0.347,-1.0636,10000
443,8,"['3', '2']",5,-0.5002,-0.3216,-1.0272,10000
444,7,"['3', '2']",5,-0.4656,-0.2386,-0.9672,10000
445,6,"['3', '2']",5,-0.1298,-0.0013,-0.2008,10000
446,5,"['3', '2']",5,-0.0816,0.0131,-0.2368,10000
447,4,"['3', '2']",5,-0.186,-0.07,-0.3828,10000
448,3,"['3', '2']",5,-0.2352,-0.0974,-0.5052,10000
449,2,"['3', '2']",5,-0.295,-0.1325,-0.5704,10000
